ImageId,EncodedPixels
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,5 17 262 16 518 16 775 14 1032 13 1289 11 1546 8
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,41744 1 41999 3 42255 3
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,48669 4 48924 7 49180 8 49435 9 49691 9 49947 10 50203 10 50460 9 50716 9 50972 9 51228 10 51484 10 51741 9 51998 7 52255 5
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,23079 1 23333 5 23587 9 23843 9 24098 11 24354 11 24609 12 24865 12 25121 12 25377 12 25633 12 25889 12 26145 12 26402 11 26659 9 26916 7 27173 4
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,47926 4 48180 7 48436 8 48691 10 48947 10 49202 12 49458 12 49714 12 49970 12 50226 12 50482 12 50738 12 50995 10 51251 10 51508 8 51766 4
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,25687 4 25942 7 26197 9 26453 9 26709 10 26965 10 27221 10 27477 10 27733 10 27989 10 28245 10 28502 9 28759 7 29017 3
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,48222 5 48477 7 48731 10 48986 11 49242 11 49497 12 49753 11 50008 12 50265 10 50521 9 50778 7 51035 5
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,64928 7 65183 9 65439 9
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,9653 7 9908 9 10163 11 10418 13 10674 13 10930 14 11185 15 11441 15 11697 15 11953 16 12210 15 12466 15 12722 14 12979 13 13236 12 13493 10 13750 8 14008 4
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,54466 7 54720 10 54975 12 55230 14 55485 15 55741 15 55996 16 56252 16 56508 15 56765 14 57021 12 57278 10 57535 7
