ImageId,EncodedPixels
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,6 15 262 15 519 14 776 13 1032 12 1289 10 1548 6
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,48925 5 49180 7 49436 8 49692 8 49948 8 50204 8 50460 9 50716 9 50972 9 51229 8 51485 8 51741 8 51998 6 52257 1
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,23334 4 23588 7 23843 9 24099 9 24354 11 24610 11 24865 12 25121 12 25377 12 25633 12 25889 12 26146 11 26403 9 26659 8 26916 6
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,47927 2 48181 6 48436 8 48692 8 48947 10 49203 10 49458 12 49714 12 49970 12 50226 12 50483 10 50739 10 50995 10 51252 8 51509 6
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,25943 5 26198 7 26454 8 26709 9 26965 10 27221 10 27477 10 27733 10 27990 9 28246 8 28503 7 28760 5
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,48224 1 48477 7 48732 8 48987 10 49242 11 49497 11 49753 11 50009 10 50265 9 50522 7 50778 6 51036 3
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,64930 3 65184 7 65440 8
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,9654 4 9908 8 10163 10 10419 11 10674 13 10930 13 11186 13 11442 14 11698 14 11954 14 12210 14 12466 14 12723 13 12979 12 13236 11 13493 9 13751 6
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,54468 4 54721 9 54975 12 55230 13 55486 14 55741 15 55997 14 56253 14 56509 14 56765 13 57022 10 57279 8 57537 3
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,3278 2 3532 6 3787 8 4043 8 4299 9 4555 9 4811 9 5067 9 5323 10 5579 9 5836 8 6093 6 6351 2
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,36838 1 37091 6 37346 8 37601 10 37857 10 38113 10 38369 11 38625 11 38881 11 39137 11 39393 10 39650 9 39906 8 40163 6 40421 2
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,6236 5 6754 7 7271 9 7790 9 8308 10 8827 10 9346 11 9865 11 10384 11 10903 10 11423 9 11942 8 12461 9 12978 12 13496 14 14014 16 14533 16 15052 17 15571 21 16091 22 16613 20 17134 18 17653 19 18172 19 18691 20 19210 20 19729 20 20248 20 20767 20 21286 20 21806 20 22325 20 22844 20 23364 19 23885 17 24405 16 24925 15 25445 14 25964 15 26484 15 27003 15 27522 16 28042 15 28561 15 29080 16 29599 16 30118 17 30637 16 31156 15 31675 16 32194 16 32713 16 33232 15 33751 13 34270 11 34790 6
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,49312 7 49829 10 50347 11 50865 12 51384 13 51903 14 52423 13 52941 15 53461 14 53980 15 54499 15 55018 17 55537 19 56056 21 56576 19 57095 17 57614 17 58133 17 58653 16 59172 16 59691 16 60211 15 60730 16 61249 15 61768 15 62287 14 62807 13 63327 12 63846 11 64366 10 64885 10 65405 8 65925 7 66446 3
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,72682 1 73197 7 73715 9 74234 10 74753 10 75272 10 75790 12 76309 12 76828 12 77347 12 77866 12 78385 12 78903 13 79422 13 79941 13 80460 13 80979 13 81498 14 82016 17 82534 19 83053 19 83573 18
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,22 10 540 13 1059 13 1578 14 2097 14 2617 14 3136 16 3655 16 4175 16 4694 16 5213 16 5733 15 6253 14 6773 13 7293 12 7812 12 8332 11 8851 12 9372 10 9893 9 10414 8 10934 8 11453 9 11972 9 12491 10 13010 10 13529 10 14048 10 14567 9 15086 9 15605 9 16124 9 16643 9 17162 9 17681 10 18200 9 18719 9 19238 9 19758 8 20277 7 20797 6
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,54031 6 54547 11 55064 13 55581 15 56098 17 56616 18 57134 20 57653 21 58172 21 58691 22 59209 23 59728 23 60247 24 60766 24 61285 24 61804 24 62323 24 62842 25 63361 26 63880 26 64399 26 64918 26 65437 27 65957 26 66476 26 66995 26 67515 25 68034 25 68555 23 69077 20 69600 16 70120 15 70639 14 71157 13 71674 12 72193 12 72698 2 72711 12 73217 3 73230 11 73736 2 73749 11 74255 3 74267 10 74774 3 74786 8 75293 3 75303 9 75812 4 75821 9 76332 17 76851 17 77369 18 77887 20 78405 21 78923 22 79441 23 79960 23 80478 25 80997 24 81518 22 82038 22 82560 21 83081 20 83603 10
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,67 16 585 18 1105 17 1624 17 2144 16 2663 16 3182 16 3702 15 4222 14 4742 14 5261 14 5781 13 6300 13 6819 13 7338 13 7857 13 8375 14 8894 14 9412 15 9930 16 10449 16 10967 17 11486 17 12005 16 12524 16 13042 17 13561 16 14081 15 14600 15 15118 14 15637 12 16156 11 16675 9 17197 3
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,35913 6 36430 10 36948 13 37467 13 37985 16 38504 17 39022 18 39541 19 40059 20 40578 20 41097 20 41616 20 42135 19 42654 20 43172 20 43691 21 44209 22 44726 23 45244 25 45763 25 46283 25 46803 24 47323 24 47842 24 48360 26 48879 26 49398 12 49411 14 49918 26 50437 28 50957 28 51476 29 51995 29 52514 29 53034 29 53554 28 54074 27 54594 26 55113 26 55633 26 56153 25 56672 25 57192 24 57711 24 58231 23 58750 22 59270 20 59790 19 60310 17 60830 16 61351 19 61872 17 62400 9 62920 7 63441 6 63963 2
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,4279 3 4798 6 5316 8 5835 10 6353 11 6872 11 7390 12 7909 13 8429 12 8948 12 9467 12 9986 12 10505 13 11025 12 11543 13 12062 13 12572 5 12581 13 13090 23 13608 24 14127 24 14645 25 15163 26 15682 26 16201 26 16720 26 17239 26 17759 24 18278 24 18797 24 19315 25 19834 25 20353 25 20872 25 21390 26 21909 26 22428 26 22948 25 23467 25 23985 26 24504 16 24521 9 25023 16 25040 9 25543 14 25560 8 26061 15 26081 4 26580 15 27099 15 27618 15 28137 15 28656 15 29175 14 29695 13 30214 13 30733 12 31252 11 31772 9 32293 5
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,38540 2 39057 6 39575 8 40093 10 40611 11 41129 12 41648 12 42166 13 42685 13 43203 14 43722 14 44241 14 44761 12 45280 12 45801 11 46321 11 46841 10 47360 10 47879 10 48399 8 48918 8 49438 7 49958 6 50477 6 50998 3
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,68119 2 68637 3 69156 3 69676 2 70195 2 70715 1 71234 1
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,65005 3 65524 5 66043 5 66563 3
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,135 24 653 27 1173 26 1693 25 2213 24 2733 22 3253 21 3773 20 4292 20 4813 19 5335 16 5856 14 6376 13 6896 12 7415 11 7935 10 8454 10 8974 8
